iter	Passed	Remaining
558	9857	7776
559	9873	7757
560	9888	7738
561	9904	7719
562	9920	7699
563	9934	7680
564	9951	7661
565	9967	7643
566	9984	7625
567	10001	7606
568	10018	7588
569	10035	7570
570	10051	7552
571	10067	7533
572	10085	7515
573	10100	7496
574	10116	7477
575	10133	7459
576	10149	7440
577	10164	7421
578	10180	7402
579	10196	7383
580	10213	7365
581	10229	7346
582	10245	7328
583	10262	7310
584	10278	7291
585	10295	7273
586	10310	7254
587	10327	7235
588	10344	7218
589	10364	7202
590	10381	7184
591	10398	7166
592	10415	7148
593	10432	7130
594	10448	7112
595	10464	7093
596	10481	7075
597	10498	7057
598	10514	7039
599	10531	7021
600	10547	7002
601	10562	6983
602	10576	6963
603	10592	6944
604	10607	6925
605	10621	6905
606	10637	6886
607	10652	6868
608	10668	6849
609	10683	6830
610	10705	6815
611	10723	6798
612	10740	6780
613	10759	6763
614	10777	6746
615	10793	6728
616	10809	6710
617	10825	6691
618	10839	6672
619	10855	6653
620	10869	6633
621	10884	6614
622	10899	6595
623	10914	6576
624	10928	6557
625	10944	6538
626	10959	6519
627	10973	6500
628	10988	6481
629	11003	6462
630	11020	6444
631	11035	6425
632	11050	6406
633	11065	6387
634	11079	6368
635	11095	6350
636	11110	6331
637	11126	6312
638	11140	6293
639	11155	6275
640	11169	6255
641	11185	6237
642	11202	6219
643	11217	6201
644	11233	6183
645	11248	6164
646	11263	6145
647	11277	6126
648	11293	6108
649	11310	6090
650	11325	6071
651	11339	6052
652	11355	6034
653	11371	6015
654	11386	5997
655	11402	5979
656	11417	5960
657	11432	5942
658	11448	5923
659	11464	5906
660	11481	5888
661	11498	5870
662	11515	5853
663	11533	5835
664	11550	5818
665	11567	5801
666	11583	5783
667	11606	5768
668	11623	5750
669	11639	5732
670	11655	5715
671	11671	5697
672	11687	5678
673	11702	5660
674	11719	5642
675	11736	5625
676	11753	5607
677	11770	5590
678	11787	5572
679	11803	5554
680	11818	5535
681	11833	5517
682	11848	5499
683	11864	5481
684	11880	5463
685	11895	5444
686	11910	5426
687	11927	5409
688	11944	5391
689	11961	5373
690	11979	5356
691	11996	5339
692	12013	5321
693	12029	5304
694	12045	5286
695	12061	5268
696	12076	5249
697	12092	5232
698	12109	5214
699	12126	5197
700	12143	5179
701	12159	5161
702	12176	5144
703	12192	5126
704	12208	5108
705	12224	5090
706	12240	5072
707	12256	5055
708	12272	5037
709	12288	5019
710	12303	5000
711	12319	4983
712	12337	4966
713	12354	4948
714	12370	4930
715	12386	4912
716	12402	4895
717	12420	4878
718	12436	4860
719	12452	4842
720	12469	4825
721	12486	4807
722	12501	4789
723	12518	4772
724	12535	4755
725	12552	4737
726	12570	4720
727	12587	4703
728	12604	4685
729	12620	4667
730	12635	4649
731	12652	4632
732	12668	4614
733	12684	4596
734	12700	4579
735	12717	4561
736	12734	4544
737	12751	4526
738	12768	4509
739	12784	4491
740	12801	4474
741	12818	4457
742	12835	4439
743	12851	4421
744	12867	4404
745	12883	4386
746	12899	4368
747	12916	4351
748	12932	4333
749	12949	4316
750	12964	4298
751	12979	4280
752	12995	4262
753	13009	4244
754	13023	4226
755	13038	4208
756	13052	4189
757	13067	4171
758	13083	4154
759	13098	4136
760	13114	4118
761	13130	4101
762	13148	4084
763	13165	4066
764	13181	4049
765	13198	4032
766	13216	4014
767	13233	3997
768	13250	3980
769	13266	3962
770	13283	3945
771	13299	3927
772	13315	3910
773	13331	3892
774	13348	3875
775	13364	3857
776	13380	3840
777	13396	3822
778	13413	3805
779	13431	3788
780	13448	3771
781	13466	3754
782	13482	3736
783	13498	3719
784	13515	3701
785	13530	3683
786	13545	3666
787	13561	3648
788	13577	3630
789	13593	3613
790	13609	3595
791	13626	3578
792	13643	3561
793	13660	3544
794	13677	3526
795	13693	3509
796	13708	3491
797	13724	3474
798	13741	3456
799	13757	3439
800	13774	3422
801	13791	3404
802	13807	3387
803	13824	3370
804	13841	3352
805	13858	3335
806	13875	3318
807	13890	3300
808	13905	3283
809	13920	3265
810	13935	3247
811	13949	3229
812	13966	3212
813	13984	3195
814	14002	3178
815	14018	3160
816	14034	3143
817	14049	3126
818	14066	3108
819	14082	3091
820	14098	3073
821	14114	3056
822	14131	3039
823	14147	3021
824	14165	3004
825	14181	2987
826	14196	2969
827	14212	2952
828	14230	2935
829	14247	2918
830	14265	2901
831	14282	2883
832	14299	2866
833	14315	2849
834	14331	2832
835	14348	2814
836	14363	2797
837	14379	2779
838	14396	2762
839	14413	2745
840	14433	2728
841	14450	2711
842	14467	2694
843	14484	2677
844	14501	2659
845	14516	2642
846	14532	2625
847	14549	2607
848	14565	2590
849	14580	2573
850	14596	2555
851	14613	2538
852	14631	2521
853	14649	2504
854	14666	2487
855	14683	2470
856	14699	2452
857	14716	2435
858	14734	2418
859	14750	2401
860	14768	2384
861	14784	2366
862	14800	2349
863	14816	2332
864	14832	2314
865	14848	2297
866	14863	2280
867	14878	2262
868	14891	2244
869	14906	2227
870	14920	2209
871	14935	2192
872	14948	2174
873	14963	2157
874	14977	2139
875	14992	2122
876	15005	2104
877	15019	2087
878	15034	2069
879	15048	2052
880	15064	2034
881	15081	2017
882	15098	2000
883	15115	1983
884	15131	1966
885	15147	1948
886	15162	1931
887	15178	1914
888	15193	1897
889	15208	1879
890	15222	1862
891	15238	1845
892	15256	1828
893	15273	1810
894	15290	1793
895	15306	1776
896	15321	1759
897	15336	1742
898	15352	1724
899	15368	1707
900	15383	1690
901	15399	1673
902	15416	1655
903	15431	1638
904	15447	1621
905	15463	1604
906	15480	1587
907	15494	1569
908	15508	1552
909	15523	1535
910	15539	1518
911	15555	1500
912	15571	1483
913	15587	1466
914	15604	1449
915	15621	1432
916	15637	1415
917	15653	1398
918	15672	1381
919	15689	1364
920	15704	1347
921	15720	1329
922	15736	1312
923	15751	1295
924	15765	1278
925	15780	1261
926	15796	1243
927	15811	1226
928	15827	1209
929	15844	1192
930	15860	1175
931	15875	1158
932	15892	1141
933	15907	1124
934	15922	1106
935	15938	1089
936	15953	1072
937	15969	1055
938	15984	1038
939	15999	1021
940	16014	1004
941	16030	987
942	16045	969
943	16060	952
944	16078	935
945	16095	918
946	16109	901
947	16125	884
948	16140	867
949	16155	850
950	16170	833
951	16187	816
952	16203	799
953	16218	782
954	16234	764
955	16251	747
956	16267	730
957	16283	713
958	16299	696
959	16315	679
960	16331	662
961	16346	645
962	16362	628
963	16378	611
964	16393	594
965	16409	577
966	16425	560
967	16441	543
968	16457	526
969	16473	509
970	16490	492
971	16505	475
972	16520	458
973	16535	441
974	16551	424
975	16567	407
976	16582	390
977	16598	373
978	16614	356
979	16630	339
980	16646	322
981	16662	305
982	16678	288
983	16695	271
984	16712	254
985	16729	237
986	16746	220
987	16761	203
988	16777	186
989	16794	169
990	16811	152
991	16828	135
992	16844	118
993	16860	101
994	16876	84
995	16893	67
996	16910	50
997	16927	33
998	16943	16
999	16959	0
